partnumber,releasedate
WS-SVC-ASA-SM1-K8,1960-01-01
WS-SVC-ASA-SM1-K8=,1960-01-01
WS-SVC-ASA-SM1-K7,1960-01-01
WS-SVC-ASA-SM1-K7=,1960-01-01
WS-SVC-ASA-SM1,1960-01-01
WS-SVC-ASA-SM1=,1960-01-01
WS-SVC-ASASM1B-K9,1960-01-01
MEM-C6K-APP-24GB,1960-01-01
MEM-C6K-APP-24GB=,1960-01-01
NAM3-HDD-600G,1960-01-01
NAM3-HDD-600G=,1960-01-01
SC-SVC-NAM3-6.2-K9,1960-01-01
SC-SVC-NAM3-6.3-K9,1960-01-01
WS-SVC-NAM-3-K9=,1960-01-01
WS-SVC-NAM3-6G-K9=,1960-01-01
NAM2440-K9,1960-01-01
WS-SVC-NAM3KS2T-K9,1960-01-01
SC6K-NAM-1.2.1,1960-01-01
SC6K-NAM-ART-LIC=,1960-01-01
SC6K-NAM-VOIP-LIC=,1960-01-01
MEM-C6K-VSE-24GB=,1960-01-01
MEM-C6KNAM-2GB=,1960-01-01
L-N1KC10NAM51-K9=,1960-01-01
L-N1KC10NAM5UP-K9=,1960-01-01
L-N1KC10NAM60-K9=,1960-01-01
L-N1KC10NAM6UP-K9=,1960-01-01
L-N1KC11NAM51-K9=,1960-01-01
L-SM-NAM-SW-51-K9=,1960-01-01
L-WAAS-VB-NAM-5.1,1960-01-01
N1K-C1010-NAM-5.1,1960-01-01
N1K-C1010NAM51-K9,1960-01-01
N1K-C1010NAM51-K9=,1960-01-01
N1K-C10NAM5UP-K9=,1960-01-01
N1K-C1110NAM51-K9,1960-01-01
NAM-APPL-SW-5.1,1960-01-01
NAM-APPL-SW-5.1-K9,1960-01-01
NAM-APPL-SW-51U-K9,1960-01-01
NAM-APPL-SW5.1-K9=,1960-01-01
NME-NAM-SW-5.1,1960-01-01
NME-NAM-SW-5.1-K9,1960-01-01
SC-SVC-NAM-5.1-K9,1960-01-01
SC-SVC-NAM3-5.1-K9,1960-01-01
SM-NAM-SW-5.1,1960-01-01
SM-NAM-SW-5.1-K9,1960-01-01
SM-NAM-SW-5.1-K9=,1960-01-01
SNAM-100VOICE,1960-01-01
SNAM-100VOICE=,1960-01-01
WAAS-VB-NAM-5.1,1960-01-01
WAAS-VB-NAM-50UP=,1960-01-01
L-N1KC1010-NAM4.2=,1960-01-01
N1K-C1010-NAM-4.2,1960-01-01
N1K-C1010-NAM-4.2=,1960-01-01
NAM-APPL-SW-4.0,1960-01-01
NAM-APPL-SW-4.0=,1960-01-01
NME-NAM-SW-4.2,1960-01-01
NME-NAM-SW-5.0,1960-01-01
SC-SVC-NAM-501T-K9,1960-01-01
SNAM-50VOICE,1960-01-01
SNAM-50VOICE=,1960-01-01
ACE30-MOD-UPG1=,1960-01-01
ACE30-MOD-UPG2=,1960-01-01
ACE30-MOD-UPG3=,1960-01-01
R-SC6K-A51-ACE,1960-01-01
R-SC6K-A51-ACE=,1960-01-01
ACE30-BASE-04-K9,1960-01-01
ACE30-MOD-04-K9,1960-01-01
ACE30-MOD-08-K9,1960-01-01
ACE30-MOD-16-K9,1960-01-01
ACE30-MOD-K9,1960-01-01
ACE30-MOD-K9=,1960-01-01
ACE30-UPG-04-K9=,1960-01-01
ACE30-UPG-08-K9=,1960-01-01
ACE30-UPG-16-K9=,1960-01-01
ACE30-SYS-AC-04-K9,1960-01-01
ACE30-SYS-DC-04-K9,1960-01-01
C6504E-ACE30-4-K9,1960-01-01
C6509E-ACE30-8X-K9,1960-01-01
FL-SRE-WLC-25,1960-01-01
FL-SRE-WLC-25A,1960-01-01
FL-SRE-WLC-5,1960-01-01
FL-SRE-WLC-5A,1960-01-01
L-FL-SRE-WLC-25A,1960-01-01
L-FL-SRE-WLC-5A,1960-01-01
L-LIC-SRE-WLC-UPG,1960-01-01
LIC-SRE-WLC-UPG,1960-01-01
SRE-WLC,1960-01-01
SW-SRE-WLC-7.0-K9,1960-01-01
WS-SVC-IDS2-BUN-K9,1960-01-01
WS-SVC-IDS2BUNK9=,1960-01-01
SC6K-A41-ACE,1960-01-01
SC6K-A42-ACE,1960-01-01
SC6K-A52-ACE,1960-01-01
CAB-449FC=,2009-10-05
CAB-449MT=,2009-10-05
E100-PCIE-4PGE,2009-10-05
E100-PCIE-4PGE=,2009-10-05
E100-PCIE10GEFCOE,2009-10-05
E100D-HDD-SSD200G,2009-10-05
E100D-HDD-SSD200G=,2009-10-05
E100S-HDD-SSD200G,2009-10-05
E100S-HDD-SSD200G=,2009-10-05
E140DM1-SVC,2009-10-05
E140DPM1-10G-SVC,2009-10-05
